epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.006,0.2817,1.44326,1.0477,0.48004,0.74606,0.56146,0.55408,0.26039,0.88762,0.36573,0.0700225,0.00333083,0.00333083
2,523.557,0.20111,0.93064,0.9499,0.46301,0.7072,0.56281,0.52735,0.43241,1.08862,0.82659,0.0399895,0.00663118,0.00663118
3,769.184,0.20981,0.92535,0.95244,0.33401,0.64381,0.37467,0.35626,0.31567,2.12133,0.42798,0.00992353,0.00989852,0.00989852
4,1011.76,0.18935,0.91114,0.94417,0.46267,0.72177,0.56398,0.55238,0.28816,0.89717,0.41525,0.0098515,0.0098515,0.0098515
5,1251.91,0.15222,0.86085,0.92556,0.5004,0.75022,0.62555,0.60437,0.24709,0.83923,0.35154,0.009802,0.009802,0.009802
6,1491.07,0.13445,0.85115,0.92007,0.53456,0.73125,0.64483,0.6062,0.29923,0.89768,0.44692,0.0097525,0.0097525,0.0097525
7,1729.64,0.12367,0.82227,0.91945,0.55803,0.73044,0.66282,0.63467,0.2677,0.76409,0.33503,0.009703,0.009703,0.009703
8,1967.19,0.11538,0.82126,0.91188,0.5798,0.70477,0.66698,0.65545,0.28027,0.75947,0.38454,0.0096535,0.0096535,0.0096535
9,2205.95,0.1106,0.81817,0.91041,0.57879,0.72941,0.68258,0.67153,0.25695,0.81095,0.35263,0.009604,0.009604,0.009604
10,2444.11,0.10469,0.80986,0.90873,0.57691,0.73111,0.68431,0.66948,0.23101,0.77666,0.33718,0.0095545,0.0095545,0.0095545
11,2682.01,0.10402,0.79061,0.90671,0.58572,0.73637,0.693,0.67279,0.21746,0.75191,0.31212,0.009505,0.009505,0.009505
12,2920.99,0.10056,0.79722,0.90848,0.60044,0.73578,0.69775,0.69348,0.1999,0.72041,0.27631,0.0094555,0.0094555,0.0094555
13,3158.99,0.09855,0.77593,0.908,0.61765,0.73207,0.70599,0.69851,0.20525,0.70217,0.26907,0.009406,0.009406,0.009406
14,3400.69,0.09463,0.78042,0.90701,0.61289,0.74681,0.71464,0.71103,0.19494,0.69162,0.2607,0.0093565,0.0093565,0.0093565
15,3638.38,0.09676,0.78602,0.90596,0.62075,0.74395,0.71437,0.71262,0.13397,0.65631,0.18242,0.009307,0.009307,0.009307
16,3875.75,0.09608,0.78616,0.90764,0.62297,0.74843,0.71791,0.71189,0.22745,0.71139,0.31958,0.0092575,0.0092575,0.0092575
17,4113.05,0.09202,0.77136,0.90535,0.62915,0.74104,0.72088,0.72085,0.1437,0.64779,0.19664,0.009208,0.009208,0.009208
18,4349.66,0.08906,0.76467,0.90345,0.63424,0.74057,0.72132,0.71673,0.21036,0.71095,0.29279,0.0091585,0.0091585,0.0091585
