epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,796.433,0.25507,0.73949,0.99469,0.99931,0.99917,0.995,0.99485,0.1264,0.32679,0.42026,0.00333215,0.00333215,0.00333215
2,1449.09,0.19534,0.24169,0.91502,0.99976,0.99999,0.995,0.995,0.14535,0.14402,0.45325,0.00659949,0.00659949,0.00659949
3,2112.98,0.19767,0.19091,0.91319,0.99988,0.99987,0.995,0.99495,0.17362,0.14059,0.48804,0.00980084,0.00980084,0.00980084
4,2798.39,0.17293,0.16116,0.90469,0.99976,0.99995,0.995,0.995,0.17389,0.18375,0.48732,0.009703,0.009703,0.009703
5,3468.51,0.14076,0.13768,0.8919,0.99998,1,0.995,0.995,0.10032,0.11395,0.39186,0.009604,0.009604,0.009604
6,4133.46,0.12571,0.1284,0.88847,0.99964,0.99999,0.995,0.995,0.12679,0.1441,0.42729,0.009505,0.009505,0.009505
7,4797.81,0.11406,0.11906,0.8832,0.99976,1,0.995,0.995,0.08526,0.11112,0.38896,0.009406,0.009406,0.009406
8,5464.93,0.10902,0.11246,0.88267,0.99988,1,0.995,0.995,0.09112,0.12036,0.37216,0.009307,0.009307,0.009307
9,6150.41,0.10329,0.10829,0.88168,0.99985,1,0.995,0.995,0.07642,0.10742,0.36098,0.009208,0.009208,0.009208
10,6824.04,0.09877,0.10641,0.87991,0.99986,1,0.995,0.995,0.09726,0.2043,0.39526,0.009109,0.009109,0.009109
11,7499.77,0.09711,0.10561,0.87891,0.99988,1,0.995,0.99498,0.05698,0.33404,0.31739,0.00901,0.00901,0.00901
12,8179.03,0.0931,0.10078,0.87773,0.99976,1,0.995,0.995,0.07329,0.28959,0.35999,0.008911,0.008911,0.008911
13,8859.74,0.09116,0.10096,0.8762,0.99988,1,0.995,0.995,0.05708,0.35652,0.32829,0.008812,0.008812,0.008812
14,9548.91,0.08727,0.09627,0.87583,0.99999,1,0.995,0.995,0.04783,0.05988,0.31671,0.008713,0.008713,0.008713
15,10240.2,0.08472,0.09468,0.87573,1,0.99996,0.995,0.995,0.04962,0.07321,0.30917,0.008614,0.008614,0.008614
16,10943.3,0.08331,0.0936,0.87551,0.99988,1,0.995,0.99499,0.0584,0.08495,0.31524,0.008515,0.008515,0.008515
17,11638.3,0.08067,0.09054,0.87481,0.99988,1,0.995,0.995,0.0565,0.07456,0.31493,0.008416,0.008416,0.008416
18,12317.1,0.07953,0.08923,0.87418,0.99988,1,0.995,0.995,0.06064,0.07694,0.31794,0.008317,0.008317,0.008317
19,13001.2,0.07909,0.08907,0.87391,0.99985,1,0.995,0.995,0.05901,0.07243,0.31629,0.008218,0.008218,0.008218
20,13679.3,0.07811,0.08875,0.87322,0.99999,1,0.995,0.995,0.05622,0.07205,0.31449,0.008119,0.008119,0.008119
21,14374.9,inf,0.08823,0.87331,1,1,0.995,0.995,0.0559,0.07589,0.31444,0.00802,0.00802,0.00802
22,15054,0.07589,0.08746,0.87239,1,0.99996,0.995,0.995,0.05649,0.07849,0.31391,0.007921,0.007921,0.007921
23,15736.2,0.07532,0.08649,0.87236,1,1,0.995,0.995,0.05689,0.08304,0.31348,0.007822,0.007822,0.007822
24,16423,0.07517,0.08405,0.87299,1,1,0.995,0.995,0.05793,0.08514,0.31316,0.007723,0.007723,0.007723
25,17104.4,0.07318,0.08344,0.87215,0.99999,1,0.995,0.995,0.05908,0.08633,0.3134,0.007624,0.007624,0.007624
26,17782.4,0.0706,0.08034,0.87193,0.99999,1,0.995,0.995,0.06072,0.08956,0.31376,0.007525,0.007525,0.007525
27,18455.2,0.07134,0.08155,0.87223,1,1,0.995,0.995,0.06114,0.08813,0.3132,0.007426,0.007426,0.007426
28,19137.7,0.07012,0.07986,0.87171,1,1,0.995,0.995,0.06116,0.08794,0.31256,0.007327,0.007327,0.007327
29,19815.8,0.06953,0.07947,0.87007,0.99998,1,0.995,0.99499,0.05946,0.08445,0.31143,0.007228,0.007228,0.007228
30,20484.8,0.06882,0.07837,0.87083,1,0.99999,0.995,0.99499,0.05832,0.08289,0.31045,0.007129,0.007129,0.007129
31,21158,0.06744,0.07692,0.87196,1,1,0.995,0.995,0.05753,0.08115,0.30979,0.00703,0.00703,0.00703
32,21838,0.06779,0.08026,0.87093,0.99999,1,0.995,0.995,0.05577,0.07718,0.30873,0.006931,0.006931,0.006931
33,22507.7,0.06578,0.07821,0.87033,1,1,0.995,0.995,0.0524,0.07111,0.30642,0.006832,0.006832,0.006832
34,23175.4,inf,0.07716,0.87003,1,0.99999,0.995,0.995,0.04901,0.06309,0.30463,0.006733,0.006733,0.006733
35,23847.2,0.06383,0.07466,0.86934,1,1,0.995,0.995,0.04506,0.05703,0.3027,0.006634,0.006634,0.006634
36,24524.7,0.06249,0.07431,0.86921,1,1,0.995,0.995,0.04292,0.0533,0.30112,0.006535,0.006535,0.006535
37,25211.1,0.06278,0.075,0.87024,0.99999,1,0.995,0.995,0.04077,0.05189,0.30001,0.006436,0.006436,0.006436
38,25900,0.06218,0.07414,0.86937,1,1,0.995,0.995,0.03863,0.05441,0.29895,0.006337,0.006337,0.006337
39,26586.9,0.06065,0.07277,0.86938,0.99999,1,0.995,0.995,0.03661,0.06981,0.29799,0.006238,0.006238,0.006238
40,27257.8,inf,0.07215,0.87001,0.99999,1,0.995,0.995,0.03493,0.11344,0.29703,0.006139,0.006139,0.006139
41,27924,0.0607,0.07162,0.86952,0.99999,1,0.995,0.995,0.03773,0.20789,0.30149,0.00604,0.00604,0.00604
42,28593.4,0.06044,0.07146,0.86877,0.99999,1,0.995,0.995,0.04007,0.24575,0.30519,0.005941,0.005941,0.005941
43,29260.8,0.06035,0.07308,0.86934,0.99999,1,0.995,0.995,0.04136,0.27531,0.30685,0.005842,0.005842,0.005842
