epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.59,0.30471,1.1326,1.03122,0.08815,0.34036,0.08555,0.01807,3.61498,3.56549,2.74114,0.0700225,0.00333083,0.00333083
2,640.21,0.23598,0.97367,0.97383,0.32995,0.72173,0.39824,0.34308,0.36955,1.15098,0.5625,0.0399895,0.00663118,0.00663118
3,1013.27,0.20505,0.95671,0.95673,0.1003,0.99932,0.24357,0.22946,0.3189,2.38837,0.52817,0.00992353,0.00989852,0.00989852
4,1384.51,0.19524,0.93683,0.95179,0.3291,0.76503,0.40912,0.38539,0.27104,1.50857,0.45532,0.0098515,0.0098515,0.0098515
5,1726.92,0.17932,0.91538,0.94009,0.35764,0.70343,0.21965,0.21258,0.27739,2.63929,0.4123,0.009802,0.009802,0.009802
6,2098.35,0.17013,0.91489,0.93628,0.61421,0.53599,0.48184,0.473,0.24706,1.08744,0.38445,0.0097525,0.0097525,0.0097525
7,2487.91,0.16119,0.89394,0.93563,0.37437,0.81259,0.48879,0.48752,0.21463,0.88481,0.33268,0.009703,0.009703,0.009703
8,2833.13,0.15729,0.89653,0.92976,0.43942,0.75524,0.51104,0.50629,0.22404,0.85696,0.36386,0.0096535,0.0096535,0.0096535
9,3199.7,0.15173,0.89713,0.92848,0.45689,0.77133,0.52037,0.51555,0.23723,0.8556,0.36799,0.009604,0.009604,0.009604
10,3550.8,0.14886,0.89617,0.92762,0.31544,0.87118,0.43897,0.43228,0.23881,1.68152,0.35624,0.0095545,0.0095545,0.0095545
11,3917.47,0.15148,0.87919,0.92733,0.44749,0.74519,0.52253,0.50009,0.23896,0.84205,0.37029,0.009505,0.009505,0.009505
12,4313.52,0.14572,0.88736,0.92776,0.46017,0.77912,0.53247,0.51684,0.24116,0.84885,0.37171,0.0094555,0.0094555,0.0094555
13,4671.08,0.14365,0.86898,0.92692,0.4641,0.76466,0.53176,0.5287,0.17983,0.83294,0.3133,0.009406,0.009406,0.009406
14,5040.69,0.14087,0.87179,0.9251,0.46271,0.75543,0.53815,0.52592,0.23234,0.84987,0.36275,0.0093565,0.0093565,0.0093565
15,5382.29,0.14047,0.87454,0.92399,0.46518,0.76975,0.54675,0.5371,0.225,0.82599,0.35167,0.009307,0.009307,0.009307
16,5744.33,0.14138,0.88058,0.92608,0.47671,0.7528,0.55749,0.54097,0.21936,0.83431,0.34706,0.0092575,0.0092575,0.0092575
17,6136.36,0.13795,0.86602,0.92459,0.48387,0.73776,0.57634,0.55671,0.23268,0.82316,0.36715,0.009208,0.009208,0.009208
18,6488.24,0.1359,0.85813,0.92139,0.4866,0.74262,0.584,0.56764,0.24232,0.82003,0.37134,0.0091585,0.0091585,0.0091585
19,6862.63,0.1323,0.85851,0.9219,0.49565,0.73614,0.59061,0.57562,0.23685,0.81516,0.36853,0.009109,0.009109,0.009109
20,7203.89,0.13723,0.8624,0.92496,0.49266,0.74448,0.59256,0.57921,0.23494,0.82032,0.372,0.0090595,0.0090595,0.0090595
21,7565.97,0.1365,0.84854,0.92373,0.49333,0.75169,0.59678,0.58349,0.22541,0.8177,0.36189,0.00901,0.00901,0.00901
22,7938.94,0.13312,0.85895,0.92314,0.49935,0.74226,0.59903,0.58589,0.22622,0.81463,0.36116,0.0089605,0.0089605,0.0089605
23,8295.26,0.13169,0.84886,0.92183,0.49973,0.74096,0.60051,0.5877,0.22459,0.81241,0.35673,0.008911,0.008911,0.008911
24,8677.17,0.1343,0.8494,0.92325,0.50182,0.74223,0.60202,0.59033,0.21988,0.80947,0.35292,0.0088615,0.0088615,0.0088615
25,9017.43,0.12884,0.84945,0.9203,0.50092,0.73744,0.60235,0.59156,0.21977,0.80875,0.35218,0.008812,0.008812,0.008812
26,9377.94,0.13087,0.84833,0.92114,0.50041,0.73784,0.60258,0.59126,0.21665,0.80872,0.3499,0.0087625,0.0087625,0.0087625
27,9732.67,0.13368,0.8525,0.92098,0.5002,0.73533,0.60266,0.59197,0.21444,0.80679,0.34771,0.008713,0.008713,0.008713
28,10097,0.13095,0.84395,0.92268,0.50465,0.72992,0.60387,0.59294,0.21207,0.80677,0.3463,0.0086635,0.0086635,0.0086635
29,10484.9,0.13008,0.84717,0.92049,0.503,0.73322,0.60399,0.59302,0.21223,0.80684,0.3479,0.008614,0.008614,0.008614
