epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.846,0.30563,1.69139,1.06749,0.41742,0.68785,0.48566,0.46853,0.2824,1.08762,0.38166,0.00333083,0.00333083,0.00333083
2,531.95,0.19883,0.99504,0.94933,0.46766,0.72288,0.5684,0.56658,0.25193,0.91021,0.38177,0.00659819,0.00659819,0.00659819
3,773.391,0.20778,0.93802,0.9521,0.46358,0.68167,0.51867,0.50235,0.26529,0.95205,0.40031,0.00979955,0.00979955,0.00979955
4,1013.53,0.18784,0.9101,0.94328,0.36788,0.79663,0.51699,0.50634,0.26732,1.26627,0.42279,0.009703,0.009703,0.009703
5,1253.35,0.1514,0.85837,0.92488,0.49291,0.70594,0.58981,0.58015,0.24069,0.8921,0.36785,0.009604,0.009604,0.009604
6,1494.56,0.13346,0.85023,0.91961,0.53485,0.71849,0.64526,0.63628,0.25675,0.81772,0.36965,0.009505,0.009505,0.009505
7,1735.74,0.1224,0.82048,0.91876,0.5792,0.7218,0.6679,0.66313,0.21302,0.77146,0.32045,0.009406,0.009406,0.009406
8,1976.67,0.11349,0.81884,0.91096,0.57171,0.73494,0.66151,0.65698,0.24306,0.77949,0.34492,0.009307,0.009307,0.009307
9,2216.95,0.10843,0.81251,0.90975,0.60247,0.7113,0.67629,0.64982,0.36137,0.77363,0.53655,0.009208,0.009208,0.009208
10,2457.29,0.10435,0.80775,0.90904,0.59048,0.74319,0.69617,0.69158,0.24172,0.76,0.35265,0.009109,0.009109,0.009109
11,2696.52,0.10174,0.78691,0.90584,0.6045,0.74406,0.70094,0.69765,0.21995,0.75052,0.32842,0.00901,0.00901,0.00901
12,2936.45,inf,0.7906,0.90832,0.61938,0.73347,0.70912,0.70846,0.22659,0.73163,0.32608,0.008911,0.008911,0.008911
13,3176.64,0.09513,0.7718,0.90676,0.62419,0.74375,0.71021,0.70751,0.23654,0.73912,0.34512,0.008812,0.008812,0.008812
14,3417.9,0.09758,0.77453,0.90696,0.62977,0.74281,0.71648,0.71641,0.22969,0.69161,0.31459,0.008713,0.008713,0.008713
15,3658.31,0.09229,0.77834,0.90362,0.63108,0.751,0.72153,0.72121,0.2102,0.68896,0.29033,0.008614,0.008614,0.008614
16,3897.75,0.09092,0.78074,0.90505,0.63689,0.74832,0.72357,0.72196,0.23547,0.69057,0.3256,0.008515,0.008515,0.008515
17,4137.35,0.08791,0.76756,0.90422,0.63442,0.74438,0.72538,0.72538,0.16849,0.65367,0.23998,0.008416,0.008416,0.008416
18,4376.78,0.08645,0.75767,0.90204,0.6377,0.74764,0.72805,0.72797,0.19554,0.67878,0.27493,0.008317,0.008317,0.008317
19,4617.45,0.08617,0.75398,0.90087,0.64928,0.74559,0.73187,0.73102,0.19453,0.67098,0.26495,0.008218,0.008218,0.008218
20,4857.57,0.08488,0.75747,0.90253,0.64799,0.7535,0.73547,0.73533,0.19157,0.6672,0.26257,0.008119,0.008119,0.008119
21,5096.94,0.08539,0.74369,0.90232,0.64445,0.75566,0.7364,0.73636,0.18349,0.6563,0.25185,0.00802,0.00802,0.00802
22,5337.39,0.08057,0.7433,0.90231,0.64849,0.75339,0.73797,0.73796,0.18341,0.65362,0.25039,0.007921,0.007921,0.007921
23,5575.08,0.07985,0.74104,0.90222,0.65339,0.74733,0.73941,0.73938,0.18007,0.65253,0.24635,0.007822,0.007822,0.007822
24,5813.23,0.08005,0.74404,0.9022,0.65485,0.74976,0.74086,0.74086,0.17786,0.64923,0.24269,0.007723,0.007723,0.007723
25,6051.21,0.07858,0.73651,0.90088,0.65465,0.75138,0.74169,0.74168,0.17923,0.64851,0.24463,0.007624,0.007624,0.007624
26,6290.2,0.07871,0.73828,0.89976,0.65631,0.75111,0.74326,0.74326,0.17785,0.64678,0.24381,0.007525,0.007525,0.007525
27,6528.72,0.07737,0.74303,0.89913,0.65649,0.75228,0.74374,0.74369,0.17855,0.64665,0.24389,0.007426,0.007426,0.007426
28,6767.57,0.07627,0.73099,0.90075,0.65658,0.7553,0.74453,0.74434,0.17935,0.64486,0.24386,0.007327,0.007327,0.007327
29,7005.1,0.07816,0.73911,0.90043,0.66058,0.75207,0.74523,0.74512,0.17722,0.64389,0.2412,0.007228,0.007228,0.007228
30,7244.59,0.07509,0.72939,0.8979,0.66049,0.75361,0.74612,0.74612,0.17425,0.64213,0.23773,0.007129,0.007129,0.007129
31,7483.26,0.07608,0.73164,0.89865,0.66084,0.75641,0.74675,0.74674,0.17259,0.64049,0.23518,0.00703,0.00703,0.00703
32,7723.29,0.07395,0.73223,0.89909,0.6634,0.75629,0.74761,0.74761,0.17281,0.63831,0.2351,0.006931,0.006931,0.006931
33,7961.92,0.07327,0.72516,0.89972,0.66293,0.75853,0.74855,0.74855,0.171,0.63544,0.23213,0.006832,0.006832,0.006832
34,8200.82,0.07175,0.71907,0.89849,0.66355,0.75624,0.74933,0.74933,0.16908,0.63363,0.22957,0.006733,0.006733,0.006733
