epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.436,0.40726,1.03683,1.10993,0.84408,0.19991,0.17202,0.06541,1.09399,2.63574,1.31638,0.0700359,0.00332934,0.00332934
2,330.335,0.29484,0.88201,1.00687,0.94603,0.19986,0.20483,0.19285,0.34088,1.09852,0.60872,0.0400029,0.00662969,0.00662969
3,479.658,0.25668,0.85021,0.97955,0.58923,0.59995,0.2046,0.18337,0.38644,0.90728,0.49472,0.00993697,0.00989705,0.00989705
4,629.121,0.24427,0.84632,0.97305,0.56416,0.5342,0.20132,0.18744,0.3992,1.04569,0.56014,0.0098515,0.0098515,0.0098515
5,779.547,0.2209,0.83892,0.96264,0.16733,0.99995,0.20629,0.20589,0.25215,0.89006,0.48756,0.009802,0.009802,0.009802
6,928.348,0.21387,0.81939,0.96016,0.59098,0.59991,0.20473,0.20308,0.25085,0.85969,0.47915,0.0097525,0.0097525,0.0097525
7,1079.02,0.20676,0.82885,0.95507,0.59104,0.59991,0.20647,0.20646,0.23549,0.82485,0.45191,0.009703,0.009703,0.009703
8,1228.35,0.19644,0.83447,0.94914,0.59029,0.59995,0.20842,0.20832,0.35844,0.8642,0.55381,0.0096535,0.0096535,0.0096535
9,1378.37,0.19187,0.81404,0.9507,0.59103,0.59991,0.20743,0.20726,0.27946,0.82685,0.42911,0.009604,0.009604,0.009604
10,1529.18,0.18686,0.81308,0.94575,0.54748,0.59995,0.20209,0.20158,0.27453,0.91484,0.44932,0.0095545,0.0095545,0.0095545
11,1681.84,0.18089,0.81411,0.94301,0.59109,0.6,0.20772,0.20772,0.20629,0.82348,0.39511,0.009505,0.009505,0.009505
12,1832.49,0.18218,0.81666,0.94489,0.10907,0.99995,0.20462,0.18272,0.4191,0.9931,0.5942,0.0094555,0.0094555,0.0094555
13,1983.19,0.17312,0.81835,0.93731,0.19786,0.99991,0.20431,0.2043,0.20658,0.83389,0.39429,0.009406,0.009406,0.009406
