epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.001,0.40868,1.40032,1.14934,0.22258,0.52819,0.24659,0.24,0.31744,0.9519,0.45149,0.0700359,0.00332934,0.00332934
2,514.453,0.25653,0.87367,0.98288,0.2794,0.66586,0.2818,0.28135,0.28778,0.95205,0.45953,0.0400029,0.00662969,0.00662969
3,725.699,0.26696,0.83628,0.97979,0.19223,0.88574,0.27542,0.2415,0.47201,1.27264,0.51588,0.00993697,0.00989705,0.00989705
4,979.382,0.24617,0.83256,0.97228,0.28421,0.70064,0.30915,0.29622,0.3394,0.90448,0.52303,0.0098515,0.0098515,0.0098515
5,1169.1,0.2037,0.79575,0.95002,0.26972,0.73219,0.30475,0.30304,0.2913,0.92304,0.45504,0.009802,0.009802,0.009802
6,1395.07,0.18171,0.7689,0.93648,0.27348,0.73621,0.32397,0.31008,0.34583,0.90613,0.50673,0.0097525,0.0097525,0.0097525
7,1644.77,0.166,0.7673,0.93036,0.49906,0.49719,0.34228,0.33451,0.29184,0.88159,0.43276,0.009703,0.009703,0.009703
8,1858.16,0.15411,0.77059,0.9246,0.50196,0.51721,0.35274,0.33335,0.36886,0.95522,0.63391,0.0096535,0.0096535,0.0096535
9,2109.81,0.14795,0.75196,0.92358,0.46538,0.63639,0.34812,0.33533,0.30159,0.8797,0.45815,0.009604,0.009604,0.009604
10,2320.47,0.14091,0.75423,0.92235,0.4886,0.55418,0.35309,0.3498,0.28662,0.86402,0.4415,0.0095545,0.0095545,0.0095545
11,2533.18,0.13513,0.75297,0.92102,0.51302,0.5525,0.38084,0.37473,0.2943,0.90734,0.43801,0.009505,0.009505,0.009505
12,2786.38,0.13031,0.73663,0.91816,0.47442,0.63512,0.37142,0.36127,0.27798,0.85523,0.43267,0.0094555,0.0094555,0.0094555
13,2980.27,0.12855,0.73308,0.91512,0.4982,0.59891,0.38153,0.37361,0.26356,0.89006,0.39079,0.009406,0.009406,0.009406
14,3214.11,0.12352,0.72384,0.91365,0.4997,0.5271,0.3735,0.36283,0.29085,0.87233,0.43259,0.0093565,0.0093565,0.0093565
15,3477.47,0.12035,0.72609,0.91184,0.50776,0.56121,0.38643,0.38636,0.20908,0.75178,0.33343,0.009307,0.009307,0.009307
16,3691.48,0.11674,0.72211,0.91358,0.48807,0.63996,0.39474,0.39212,0.20071,0.73195,0.33288,0.0092575,0.0092575,0.0092575
17,3942.74,0.11772,0.71998,0.91071,0.51813,0.56665,0.40628,0.40221,0.22851,0.74536,0.34978,0.009208,0.009208,0.009208
18,4168.82,0.11468,0.72818,0.91128,0.52809,0.57502,0.41576,0.40706,0.24436,0.71262,0.36132,0.0091585,0.0091585,0.0091585
19,4382.74,0.1127,0.71274,0.9093,0.54696,0.56265,0.4278,0.40771,0.2443,0.70479,0.35553,0.009109,0.009109,0.009109
20,4637.56,0.11152,0.70641,0.9105,0.59273,0.50861,0.43652,0.41595,0.30662,0.71774,0.52645,0.0090595,0.0090595,0.0090595
21,4829.29,0.11125,0.71164,0.91187,0.5892,0.52831,0.44523,0.43353,0.27146,0.72165,0.39032,0.00901,0.00901,0.00901
22,5056.15,0.10944,0.69485,0.91085,0.60026,0.53177,0.46002,0.4533,0.2365,0.6874,0.3421,0.0089605,0.0089605,0.0089605
23,5308.36,0.10576,0.71234,0.90909,0.60741,0.55135,0.46464,0.45822,0.22829,0.69488,0.33102,0.008911,0.008911,0.008911
24,5515.34,0.10453,0.70151,0.90831,0.62347,0.54323,0.47257,0.45983,0.25038,0.68994,0.36088,0.0088615,0.0088615,0.0088615
25,5770.58,0.10055,0.70377,0.90552,0.61336,0.55831,0.47391,0.46364,0.24065,0.70111,0.3457,0.008812,0.008812,0.008812
26,5996.71,0.10105,0.67533,0.90776,0.61654,0.54595,0.4809,0.47141,0.24691,0.69916,0.35642,0.0087625,0.0087625,0.0087625
27,6213.5,0.10018,0.71462,0.90629,0.62329,0.53912,0.48497,0.47154,0.25742,0.6974,0.36983,0.008713,0.008713,0.008713
28,6464.5,0.09631,0.67623,0.90454,0.6373,0.53121,0.49341,0.48762,0.2444,0.6909,0.35493,0.0086635,0.0086635,0.0086635
29,6659.44,0.09752,0.69064,0.90448,0.64274,0.52435,0.49541,0.49199,0.23064,0.681,0.34076,0.008614,0.008614,0.008614
30,6881.37,0.09588,0.70428,0.90497,0.64333,0.53304,0.49613,0.49049,0.24843,0.68766,0.3559,0.0085645,0.0085645,0.0085645
31,7130.95,0.09501,0.69963,0.90378,0.64398,0.54049,0.49601,0.48867,0.24568,0.68969,0.35509,0.008515,0.008515,0.008515
32,7339.48,0.09575,0.67347,0.9056,0.6504,0.54055,0.49802,0.49038,0.24332,0.68672,0.35187,0.0084655,0.0084655,0.0084655
33,7584.29,0.09699,0.70117,0.90401,0.66182,0.52463,0.50027,0.48951,0.25088,0.68254,0.35731,0.008416,0.008416,0.008416
34,7827.78,0.0937,0.68598,0.90438,0.65737,0.53042,0.50209,0.49024,0.25314,0.68062,0.35902,0.0083665,0.0083665,0.0083665
35,8040.44,0.09252,0.68683,0.9055,0.66285,0.52514,0.50115,0.48859,0.24777,0.67832,0.35296,0.008317,0.008317,0.008317
36,8293.82,0.09213,0.68676,0.90482,0.66274,0.52085,0.50325,0.49137,0.24271,0.67486,0.34789,0.0082675,0.0082675,0.0082675
37,8496.9,0.09159,0.68108,0.90281,0.64738,0.53095,0.50432,0.49137,0.24051,0.67035,0.34691,0.008218,0.008218,0.008218
38,8710.04,0.09332,0.68286,0.90524,0.65289,0.53477,0.50501,0.49177,0.24166,0.66884,0.34885,0.0081685,0.0081685,0.0081685
39,8960.87,0.09212,0.67069,0.9039,0.66297,0.5182,0.50409,0.49079,0.24261,0.66683,0.34942,0.008119,0.008119,0.008119
40,9155.59,0.09107,0.67314,0.90488,0.65549,0.52764,0.50415,0.49921,0.23936,0.66452,0.34563,0.0080695,0.0080695,0.0080695
41,9393.75,0.08941,0.67948,0.89962,0.6482,0.5358,0.50501,0.50309,0.23643,0.66068,0.33829,0.00802,0.00802,0.00802
42,9645.26,inf,0.6972,0.90173,0.64739,0.53768,0.50449,0.50368,0.23143,0.65719,0.33281,0.0079705,0.0079705,0.0079705
43,9861.57,0.08988,0.68062,0.90236,0.64954,0.53515,0.50452,0.50433,0.22715,0.65391,0.32741,0.007921,0.007921,0.007921
44,10109.8,0.0898,0.67864,0.90414,0.64651,0.54419,0.50546,0.50545,0.22715,0.65366,0.32697,0.0078715,0.0078715,0.0078715
45,10326.4,0.08901,0.68629,0.90231,0.64637,0.53874,0.506,0.506,0.22754,0.65307,0.32605,0.007822,0.007822,0.007822
46,10539.8,0.08948,0.67104,0.90394,0.64576,0.53915,0.50677,0.50677,0.22732,0.65081,0.32335,0.0077725,0.0077725,0.0077725
47,10791.9,0.08587,0.67372,0.89999,0.64701,0.54112,0.50752,0.50752,0.22647,0.64746,0.3207,0.007723,0.007723,0.007723
48,10984,0.08769,0.6667,0.90011,0.65258,0.53607,0.50804,0.50804,0.22565,0.64489,0.31851,0.0076735,0.0076735,0.0076735
49,11211.5,0.08613,0.69118,0.90265,0.65358,0.54052,0.50855,0.50855,0.22286,0.6423,0.31284,0.007624,0.007624,0.007624
50,11461.3,0.08526,0.67151,0.90039,0.6614,0.53721,0.50809,0.50809,0.22041,0.64056,0.30826,0.0075745,0.0075745,0.0075745
51,11672.7,0.08348,0.6517,0.9008,0.66252,0.53471,0.50806,0.50806,0.21807,0.63754,0.30433,0.007525,0.007525,0.007525
52,11922.6,0.08485,0.67223,0.902,0.6578,0.53732,0.50723,0.50723,0.21682,0.63524,0.30058,0.0074755,0.0074755,0.0074755
53,12151.2,0.08353,0.6844,0.90016,0.66012,0.53403,0.50744,0.50744,0.21616,0.63298,0.29817,0.007426,0.007426,0.007426
54,12365.9,0.08314,0.68109,0.9007,0.65728,0.53254,0.50746,0.50746,0.21308,0.62924,0.29303,0.0073765,0.0073765,0.0073765
55,12616.2,0.08331,0.67589,0.90046,0.6589,0.53382,0.50737,0.50737,0.21152,0.62632,0.28928,0.007327,0.007327,0.007327
56,12812.3,inf,0.67191,0.90124,0.65914,0.53329,0.50768,0.50768,0.20886,0.62416,0.28531,0.0072775,0.0072775,0.0072775
