epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.892,0.22776,1.5038,0.97974,0.41707,0.59095,0.46286,0.45876,0.19979,1.70646,0.50332,0.00333208,0.00333208,0.00333208
2,1205.67,0.18116,0.91475,0.91177,0.49472,0.70592,0.59945,0.59897,0.17235,0.89575,0.48905,0.00659943,0.00659943,0.00659943
3,1792.46,0.19298,0.82568,0.91301,0.51407,0.76142,0.66681,0.66681,0.11284,0.65616,0.41505,0.00980077,0.00980077,0.00980077
4,2372.51,0.17405,0.76157,0.90667,0.5952,0.70314,0.67492,0.67453,0.12289,0.5702,0.40926,0.009703,0.009703,0.009703
5,2946.1,0.14135,0.69478,0.8935,0.63911,0.74193,0.71238,0.7123,0.10311,0.50299,0.37601,0.009604,0.009604,0.009604
6,3524.66,0.12617,0.66648,0.88866,0.63181,0.73222,0.71477,0.71463,0.10366,0.54483,0.40094,0.009505,0.009505,0.009505
7,4103,0.11437,0.64307,0.88406,0.6464,0.7767,0.73073,0.7307,0.12253,0.49512,0.40901,0.009406,0.009406,0.009406
8,4678.59,0.1067,0.6323,0.8817,0.63623,0.78943,0.74034,0.74032,0.10523,0.47656,0.40923,0.009307,0.009307,0.009307
9,5256.76,0.10154,0.6166,0.88139,0.64362,0.78198,0.74191,0.74185,0.09131,0.47079,0.38437,0.009208,0.009208,0.009208
10,5831.78,0.09642,0.6092,0.87977,0.66051,0.78217,0.7513,0.7513,0.09145,0.46665,0.39217,0.009109,0.009109,0.009109
11,6413.66,0.0949,0.60038,0.87882,0.66601,0.79408,0.76121,0.7612,0.09835,0.46762,0.39832,0.00901,0.00901,0.00901
12,6994.72,0.09024,0.58921,0.87726,0.66422,0.78756,0.7604,0.7604,0.07944,0.46023,0.3786,0.008911,0.008911,0.008911
13,7578.1,0.08657,0.58459,0.87681,0.66477,0.79512,0.76856,0.76849,0.08846,0.46113,0.37938,0.008812,0.008812,0.008812
14,8161.1,0.08466,0.57929,0.87536,0.67124,0.79733,0.77151,0.77151,0.09299,0.46154,0.38082,0.008713,0.008713,0.008713
15,8738.62,0.08262,0.56997,0.87573,0.67571,0.78233,0.77226,0.77226,0.08067,0.47427,0.37278,0.008614,0.008614,0.008614
16,9338.02,0.08021,0.56598,0.87525,0.6832,0.78293,0.77695,0.77695,0.08257,0.46314,0.37497,0.008515,0.008515,0.008515
17,9936.34,0.07833,0.56184,0.87506,0.68374,0.79846,0.78136,0.78136,0.087,0.45348,0.37516,0.008416,0.008416,0.008416
18,10535,0.07856,0.56102,0.87488,0.68217,0.80146,0.78175,0.78175,0.09071,0.44651,0.37963,0.008317,0.008317,0.008317
19,11117.9,0.07712,0.55863,0.87388,0.69481,0.79067,0.78394,0.78393,0.09231,0.44413,0.38051,0.008218,0.008218,0.008218
20,11698.6,0.07738,0.55611,0.87439,0.69417,0.79651,0.7857,0.78569,0.08333,0.4462,0.37615,0.008119,0.008119,0.008119
21,12281.9,0.07681,0.54585,0.87322,0.6955,0.79942,0.78782,0.78782,0.08444,0.44555,0.37855,0.00802,0.00802,0.00802
22,12883.6,inf,0.54683,0.87316,0.69728,0.79641,0.78926,0.78926,0.08023,0.45031,0.37763,0.007921,0.007921,0.007921
23,13470.3,0.07464,0.54497,0.87324,0.69572,0.79933,0.791,0.791,0.08056,0.45277,0.37809,0.007822,0.007822,0.007822
24,14053.6,0.07564,0.54525,0.87338,0.69684,0.803,0.79202,0.79202,0.08351,0.45112,0.37916,0.007723,0.007723,0.007723
25,14632.5,0.07428,0.54035,0.8726,0.69716,0.80211,0.79274,0.79274,0.08784,0.45369,0.37874,0.007624,0.007624,0.007624
26,15220.7,0.07401,0.53882,0.87398,0.69849,0.79819,0.7934,0.7934,0.08489,0.45728,0.37667,0.007525,0.007525,0.007525
27,15811.1,0.07276,0.53587,0.87292,0.69769,0.79816,0.79354,0.79354,0.08296,0.45853,0.37649,0.007426,0.007426,0.007426
28,16402,0.07149,0.53729,0.87318,0.70327,0.79586,0.79551,0.79539,0.08119,0.4496,0.37508,0.007327,0.007327,0.007327
29,16994.8,0.07033,0.53273,0.87268,0.70436,0.79527,0.79651,0.79634,0.08,0.44497,0.37429,0.007228,0.007228,0.007228
30,17582.4,0.07043,0.52569,0.87176,0.70929,0.79137,0.79748,0.79734,0.07832,0.44225,0.37329,0.007129,0.007129,0.007129
31,18176.1,inf,0.52818,0.87116,0.71081,0.78895,0.79755,0.79755,0.07796,0.4427,0.37279,0.00703,0.00703,0.00703
32,18764.5,0.06895,0.52575,0.87211,0.70689,0.79084,0.79765,0.79765,0.0781,0.44629,0.37324,0.006931,0.006931,0.006931
33,19358.2,0.06777,0.52109,0.87178,0.71269,0.78562,0.79806,0.79801,0.07728,0.44935,0.3727,0.006832,0.006832,0.006832
34,19968.4,0.06793,0.5178,0.87087,0.7117,0.7861,0.79869,0.79869,0.07675,0.44962,0.37177,0.006733,0.006733,0.006733
35,20579.5,inf,0.51832,0.87098,0.70811,0.79138,0.79896,0.79896,0.07858,0.45284,0.37154,0.006634,0.006634,0.006634
36,21181.2,0.06512,0.51362,0.86954,0.70049,0.8035,0.80019,0.80019,0.07825,0.44679,0.37006,0.006535,0.006535,0.006535
37,21781.1,0.06636,0.51233,0.87031,0.70254,0.80344,0.80075,0.80075,0.07853,0.44854,0.36901,0.006436,0.006436,0.006436
38,22394.4,0.06371,0.50703,0.87018,0.70504,0.80436,0.80234,0.80234,0.08277,0.45856,0.37387,0.006337,0.006337,0.006337
39,23007.9,0.06441,0.50937,0.87121,0.7039,0.80755,0.80298,0.80298,0.09763,0.48151,0.39318,0.006238,0.006238,0.006238
40,23792.4,0.0633,0.50648,0.87013,0.70703,0.80541,0.80394,0.80394,0.09598,0.48137,0.39138,0.006139,0.006139,0.006139
41,24500.9,0.06217,0.50198,0.87049,0.71255,0.80155,0.80487,0.80487,0.07903,0.45065,0.36955,0.00604,0.00604,0.00604
